,0,1
69,"[0.9962745904922485, 6, 6, 119511]","[0.6940039396286011, 8, 8, 95776]"
70,"[0.9967849254608154, 6, 6, 119511]","[0.7347441911697388, 8, 8, 95776]"
71,"[0.9968836903572083, 6, 6, 119511]","[0.7037627696990967, 8, 8, 95776]"
72,"[0.9966813921928406, 6, 6, 119511]","[0.7066324949264526, 8, 8, 95776]"
73,"[0.9963670969009399, 6, 6, 119511]","[0.7145671844482422, 8, 8, 95776]"
74,"[0.9967177510261536, 6, 6, 119511]","[0.7362579703330994, 8, 8, 95776]"
75,"[0.9969105124473572, 6, 6, 119511]","[0.6966334581375122, 8, 8, 95776]"
76,"[0.9972348809242249, 6, 6, 119511]","[0.6754902005195618, 8, 8, 95776]"
77,"[0.9970536231994629, 6, 6, 119511]","[0.6990744471549988, 8, 8, 95776]"
78,"[0.9969801306724548, 6, 6, 119511]","[0.6981788277626038, 8, 8, 95776]"
79,"[0.9975113868713379, 6, 6, 119511]","[0.7384463548660278, 8, 8, 95776]"
80,"[0.9971156120300293, 6, 6, 119511]","[0.6804212927818298, 8, 8, 95776]"
81,"[0.9974912405014038, 6, 6, 119511]","[0.6778753399848938, 8, 8, 95776]"
82,"[0.9974753260612488, 6, 6, 119511]","[0.697917103767395, 8, 8, 95776]"
83,"[0.9974547028541565, 6, 6, 119511]","[0.7014473080635071, 8, 8, 95776]"
84,"[0.9974963068962097, 6, 6, 119511]","[0.6680963039398193, 8, 8, 95776]"
85,"[0.9974365830421448, 6, 6, 119511]","[0.7005024552345276, 8, 8, 95776]"
86,"[0.9973021745681763, 6, 6, 119511]","[0.7228729724884033, 8, 8, 95776]"
87,"[0.9977468848228455, 6, 6, 119511]","[0.7768193483352661, 8, 8, 95776]"
88,"[0.9977571368217468, 6, 6, 119511]","[0.7271247506141663, 8, 8, 95776]"
89,"[0.9975900650024414, 6, 6, 119511]","[0.7506508231163025, 8, 8, 95776]"
90,"[0.9975302815437317, 6, 6, 119511]","[0.7006560564041138, 8, 8, 95776]"
91,"[0.9979532957077026, 6, 6, 119511]","[0.7378026247024536, 8, 8, 95776]"
92,"[0.9981544613838196, 6, 6, 119511]","[0.6871330142021179, 8, 8, 95776]"
93,"[0.9978629946708679, 6, 6, 119511]","[0.7319205403327942, 8, 8, 95776]"
94,"[0.9974262118339539, 6, 6, 119511]","[0.7559341192245483, 8, 8, 95776]"
95,"[0.998322069644928, 6, 6, 119511]","[0.7819120287895203, 8, 8, 95776]"
96,"[0.9980979561805725, 6, 6, 119511]","[0.7680708169937134, 8, 8, 95776]"
97,"[0.9980016350746155, 6, 6, 119511]","[0.778917133808136, 8, 8, 95776]"
98,"[0.9981051683425903, 6, 6, 119511]","[0.7121886014938354, 8, 8, 95776]"
99,"[0.9981645941734314, 6, 6, 119511]","[0.7707071900367737, 8, 8, 95776]"
100,"[0.9985371828079224, 6, 6, 119511]","[0.7690920829772949, 8, 8, 95776]"
101,"[0.9983308911323547, 6, 6, 119511]","[0.3391617238521576, 0, 8, 95776]"
102,"[0.9988491535186768, 6, 6, 119511]","[0.04727432504296303, 0, 8, 95776]"
103,"[0.9984990358352661, 6, 6, 119511]","[0.5406789183616638, 8, 8, 95776]"
104,"[0.9988414645195007, 6, 6, 119511]","[0.5543568134307861, 8, 8, 95776]"
105,"[0.9987132549285889, 6, 6, 119511]","[0.6210312843322754, 8, 8, 95776]"
106,"[0.9985942244529724, 6, 6, 119511]","[0.6218826174736023, 8, 8, 95776]"
107,"[0.9987126588821411, 6, 6, 119511]","[0.6829264760017395, 8, 8, 95776]"
108,"[0.999134361743927, 6, 6, 119511]","[0.6334439516067505, 8, 8, 95776]"
109,"[0.9991475343704224, 6, 6, 119511]","[0.6676869988441467, 8, 8, 95776]"
110,"[0.9990860223770142, 6, 6, 119511]","[0.6880816221237183, 8, 8, 95776]"
111,"[0.9992214441299438, 6, 6, 119511]","[0.6954986453056335, 8, 8, 95776]"
112,"[0.9990137815475464, 6, 6, 119511]","[0.7042143940925598, 8, 8, 95776]"
113,"[0.9988388419151306, 6, 6, 119511]","[0.7078443765640259, 8, 8, 95776]"
114,"[0.9991511106491089, 6, 6, 119511]","[0.7074429988861084, 8, 8, 95776]"
115,"[0.9988942742347717, 6, 6, 119511]","[0.7231641411781311, 8, 8, 95776]"
116,"[0.9990812540054321, 6, 6, 119511]","[0.7336171865463257, 8, 8, 95776]"
117,"[0.9992156028747559, 6, 6, 119511]","[0.7344125509262085, 8, 8, 95776]"
118,"[0.9992988109588623, 6, 6, 119511]","[0.7541438341140747, 8, 8, 95776]"
119,"[0.9991631507873535, 6, 6, 119511]","[0.7184543013572693, 8, 8, 95776]"
120,"[0.9994006156921387, 6, 6, 119511]","[0.7754685878753662, 8, 8, 95776]"
121,"[0.9991161227226257, 6, 6, 119511]","[0.754454493522644, 8, 8, 95776]"
122,"[0.9992877840995789, 6, 6, 119511]","[0.7555769681930542, 8, 8, 95776]"
123,"[0.9993359446525574, 6, 6, 119511]","[0.7770547270774841, 8, 8, 95776]"
124,"[0.9993938207626343, 6, 6, 119511]","[0.7744590044021606, 8, 8, 95776]"
125,"[0.9995755553245544, 6, 6, 119511]","[0.10123001784086227, 0, 8, 95776]"
126,"[0.9994981288909912, 6, 6, 119511]","[0.6909963488578796, 8, 8, 95776]"
127,"[0.9994285702705383, 6, 6, 119511]","[0.6825510263442993, 8, 8, 95776]"
128,"[0.9994921684265137, 6, 6, 119511]","[0.74212646484375, 8, 8, 95776]"
