,0,1
69,"[0.9999955892562866, 6, 6, 119511]","[0.17306895554065704, 0, 8, 95776]"
70,"[0.9999957084655762, 6, 6, 119511]","[0.15245074033737183, 0, 8, 95776]"
71,"[0.9999963045120239, 6, 6, 119511]","[0.11476357281208038, 0, 8, 95776]"
72,"[0.9999957084655762, 6, 6, 119511]","[0.1441689282655716, 0, 8, 95776]"
73,"[0.9999967813491821, 6, 6, 119511]","[0.12844081223011017, 0, 8, 95776]"
74,"[0.9999974966049194, 6, 6, 119511]","[0.13108471035957336, 0, 8, 95776]"
75,"[0.9999974966049194, 6, 6, 119511]","[0.1131025180220604, 0, 8, 95776]"
76,"[0.9999980926513672, 6, 6, 119511]","[0.13825279474258423, 0, 8, 95776]"
77,"[0.9999971389770508, 6, 6, 119511]","[0.10290803760290146, 0, 8, 95776]"
78,"[0.9999984502792358, 6, 6, 119511]","[0.144166961312294, 0, 8, 95776]"
79,"[0.9999966621398926, 6, 6, 119511]","[0.10316630452871323, 0, 8, 95776]"
80,"[0.9999985694885254, 6, 6, 119511]","[0.14456070959568024, 0, 8, 95776]"
81,"[0.9999978542327881, 6, 6, 119511]","[0.12146472185850143, 0, 8, 95776]"
82,"[0.9999982118606567, 6, 6, 119511]","[0.11508316546678543, 0, 8, 95776]"
83,"[0.9999978542327881, 6, 6, 119511]","[0.10176526755094528, 0, 8, 95776]"
84,"[0.9999986886978149, 6, 6, 119511]","[0.1204242929816246, 0, 8, 95776]"
85,"[0.9999983310699463, 6, 6, 119511]","[0.10124941170215607, 0, 8, 95776]"
86,"[0.9999988079071045, 6, 6, 119511]","[0.12924104928970337, 0, 8, 95776]"
87,"[0.9999982118606567, 6, 6, 119511]","[0.08789496123790741, 0, 8, 95776]"
88,"[0.9999988079071045, 6, 6, 119511]","[0.09867916256189346, 0, 8, 95776]"
89,"[0.9999984502792358, 6, 6, 119511]","[0.11854416131973267, 0, 8, 95776]"
90,"[0.9999985694885254, 6, 6, 119511]","[0.1355544775724411, 0, 8, 95776]"
91,"[0.9999985694885254, 6, 6, 119511]","[0.17373138666152954, 0, 8, 95776]"
92,"[0.9999986886978149, 6, 6, 119511]","[0.12161106616258621, 0, 8, 95776]"
93,"[0.9999990463256836, 6, 6, 119511]","[0.11348135024309158, 0, 8, 95776]"
94,"[0.9999990463256836, 6, 6, 119511]","[0.09596644341945648, 0, 8, 95776]"
95,"[0.9999992847442627, 6, 6, 119511]","[0.09984204173088074, 0, 8, 95776]"
96,"[0.9999988079071045, 6, 6, 119511]","[0.1400987207889557, 0, 8, 95776]"
97,"[0.9999991655349731, 6, 6, 119511]","[0.09731663018465042, 0, 8, 95776]"
98,"[0.9999992847442627, 6, 6, 119511]","[0.12918779253959656, 0, 8, 95776]"
99,"[0.9999992847442627, 6, 6, 119511]","[0.10556460916996002, 0, 8, 95776]"
