,0,1
69,"[0.5697662234306335, 0, 0, 89006]","[0.7018347382545471, 2, 2, 189655]"
70,"[0.5373378992080688, 0, 0, 89006]","[0.7274884581565857, 2, 2, 189655]"
71,"[0.5280185341835022, 0, 0, 89006]","[0.6705367565155029, 2, 2, 189655]"
72,"[0.5515006184577942, 0, 0, 89006]","[0.660494863986969, 2, 2, 189655]"
73,"[0.5591301321983337, 0, 0, 89006]","[0.6448869109153748, 2, 2, 189655]"
74,"[0.5413509607315063, 0, 0, 89006]","[0.6644052267074585, 2, 2, 189655]"
75,"[0.5515197515487671, 0, 0, 89006]","[0.6707332134246826, 2, 2, 189655]"
76,"[0.5506383776664734, 0, 0, 89006]","[0.6783760786056519, 2, 2, 189655]"
77,"[0.5578137636184692, 0, 0, 89006]","[0.6744334101676941, 2, 2, 189655]"
78,"[0.5684312582015991, 0, 0, 89006]","[0.6662685871124268, 2, 2, 189655]"
79,"[0.5503559708595276, 0, 0, 89006]","[0.6605628728866577, 2, 2, 189655]"
80,"[0.5534311532974243, 0, 0, 89006]","[0.6437294483184814, 2, 2, 189655]"
81,"[0.5436558127403259, 0, 0, 89006]","[0.6412970423698425, 2, 2, 189655]"
82,"[0.48277047276496887, 2, 0, 89006]","[0.6555352210998535, 2, 2, 189655]"
83,"[0.4768226444721222, 2, 0, 89006]","[0.6155329346656799, 2, 2, 189655]"
84,"[0.5011533498764038, 0, 0, 89006]","[0.6695465445518494, 2, 2, 189655]"
85,"[0.4845942556858063, 2, 0, 89006]","[0.6040207743644714, 2, 2, 189655]"
86,"[0.4918404817581177, 2, 0, 89006]","[0.6763423085212708, 2, 2, 189655]"
87,"[0.5096082091331482, 0, 0, 89006]","[0.6171016097068787, 2, 2, 189655]"
88,"[0.5191006064414978, 0, 0, 89006]","[0.5980055928230286, 2, 2, 189655]"
89,"[0.5219933986663818, 0, 0, 89006]","[0.6000317931175232, 2, 2, 189655]"
90,"[0.5075191259384155, 0, 0, 89006]","[0.6278146505355835, 2, 2, 189655]"
91,"[0.4708271026611328, 2, 0, 89006]","[0.6951611638069153, 2, 2, 189655]"
92,"[0.4517025947570801, 2, 0, 89006]","[0.709196150302887, 2, 2, 189655]"
93,"[0.4907861053943634, 2, 0, 89006]","[0.6730348467826843, 2, 2, 189655]"
94,"[0.5085405707359314, 0, 0, 89006]","[0.6634172797203064, 2, 2, 189655]"
95,"[0.522633969783783, 0, 0, 89006]","[0.6609387397766113, 2, 2, 189655]"
96,"[0.5203371644020081, 0, 0, 89006]","[0.6394191384315491, 2, 2, 189655]"
97,"[0.5575025081634521, 0, 0, 89006]","[0.6212038993835449, 2, 2, 189655]"
98,"[0.5493914484977722, 0, 0, 89006]","[0.6068234443664551, 2, 2, 189655]"
99,"[0.5454102754592896, 0, 0, 89006]","[0.610384464263916, 2, 2, 189655]"
