,0,1
71,"[0.38738182187080383, 4, 4, 196276]","[0.42998233437538147, 0, 0, 455]"
72,"[0.40980398654937744, 4, 4, 196276]","[0.4322342574596405, 0, 0, 455]"
73,"[0.4095744490623474, 4, 4, 196276]","[0.42155271768569946, 0, 0, 455]"
74,"[0.42230555415153503, 4, 4, 196276]","[0.45079490542411804, 0, 0, 455]"
75,"[0.4192140996456146, 4, 4, 196276]","[0.45082229375839233, 0, 0, 455]"
76,"[0.4576583206653595, 4, 4, 196276]","[0.4461718797683716, 0, 0, 455]"
77,"[0.4252883195877075, 4, 4, 196276]","[0.4494647979736328, 0, 0, 455]"
78,"[0.438962459564209, 4, 4, 196276]","[0.4522179663181305, 0, 0, 455]"
79,"[0.4680599570274353, 4, 4, 196276]","[0.48501724004745483, 0, 0, 455]"
80,"[0.47972366213798523, 4, 4, 196276]","[0.498585969209671, 0, 0, 455]"
81,"[0.5123125910758972, 4, 4, 196276]","[0.4934803247451782, 0, 0, 455]"
82,"[0.4960247576236725, 4, 4, 196276]","[0.4939422309398651, 0, 0, 455]"
83,"[0.5079323649406433, 4, 4, 196276]","[0.4930568039417267, 0, 0, 455]"
84,"[0.5215002298355103, 4, 4, 196276]","[0.5374223589897156, 0, 0, 455]"
85,"[0.5155561566352844, 4, 4, 196276]","[0.5127519965171814, 0, 0, 455]"
86,"[0.51067715883255, 4, 4, 196276]","[0.5501165390014648, 0, 0, 455]"
87,"[0.5310882925987244, 4, 4, 196276]","[0.5286600589752197, 0, 0, 455]"
88,"[0.5268871784210205, 4, 4, 196276]","[0.5391523838043213, 0, 0, 455]"
89,"[0.5347464084625244, 4, 4, 196276]","[0.5651645660400391, 0, 0, 455]"
90,"[0.5326876640319824, 4, 4, 196276]","[0.5664506554603577, 0, 0, 455]"
91,"[0.5841502547264099, 4, 4, 196276]","[0.6091001629829407, 0, 0, 455]"
92,"[0.5617448687553406, 4, 4, 196276]","[0.5662283897399902, 0, 0, 455]"
93,"[0.569552481174469, 4, 4, 196276]","[0.5666202902793884, 0, 0, 455]"
94,"[0.5269454717636108, 4, 4, 196276]","[0.5699349641799927, 0, 0, 455]"
95,"[0.5920357704162598, 4, 4, 196276]","[0.5893357396125793, 0, 0, 455]"
96,"[0.5567615628242493, 4, 4, 196276]","[0.6068649888038635, 0, 0, 455]"
97,"[0.584921658039093, 4, 4, 196276]","[0.6244570016860962, 0, 0, 455]"
98,"[0.5786000490188599, 4, 4, 196276]","[0.6381343603134155, 0, 0, 455]"
99,"[0.579308271408081, 4, 4, 196276]","[0.6479224562644958, 0, 0, 455]"
100,"[0.5890359282493591, 4, 4, 196276]","[0.6372047066688538, 0, 0, 455]"
101,"[0.585634171962738, 4, 4, 196276]","[0.6448637247085571, 0, 0, 455]"
102,"[0.5466291904449463, 4, 4, 196276]","[0.6565600037574768, 0, 0, 455]"
103,"[0.6019325852394104, 4, 4, 196276]","[0.6292181015014648, 0, 0, 455]"
104,"[0.6068609356880188, 4, 4, 196276]","[0.6510499715805054, 0, 0, 455]"
105,"[0.5978613495826721, 4, 4, 196276]","[0.6552625298500061, 0, 0, 455]"
106,"[0.6003000140190125, 4, 4, 196276]","[0.6669716238975525, 0, 0, 455]"
107,"[0.6369248628616333, 4, 4, 196276]","[0.6823115348815918, 0, 0, 455]"
108,"[0.6003079414367676, 4, 4, 196276]","[0.6811463832855225, 0, 0, 455]"
109,"[0.6251266002655029, 4, 4, 196276]","[0.6862034201622009, 0, 0, 455]"
110,"[0.6100181341171265, 4, 4, 196276]","[0.699097752571106, 0, 0, 455]"
111,"[0.6324486136436462, 4, 4, 196276]","[0.6877731084823608, 0, 0, 455]"
112,"[0.6222877502441406, 4, 4, 196276]","[0.7297198176383972, 0, 0, 455]"
