,0,1
69,"[0.10745041817426682, 2, 5, 156530]","[0.07438754290342331, 9, 3, 180754]"
70,"[0.09074506908655167, 2, 5, 156530]","[0.04974370822310448, 9, 3, 180754]"
71,"[0.08680050820112228, 2, 5, 156530]","[0.0768178254365921, 9, 3, 180754]"
72,"[0.10223186761140823, 2, 5, 156530]","[0.05746738240122795, 9, 3, 180754]"
73,"[0.08275145292282104, 2, 5, 156530]","[0.07176034152507782, 9, 3, 180754]"
74,"[0.08602633327245712, 2, 5, 156530]","[0.055083636194467545, 9, 3, 180754]"
75,"[0.09117994457483292, 2, 5, 156530]","[0.08649435639381409, 9, 3, 180754]"
76,"[0.0777829959988594, 2, 5, 156530]","[0.06737572699785233, 9, 3, 180754]"
77,"[0.08563360571861267, 2, 5, 156530]","[0.0812104344367981, 9, 3, 180754]"
78,"[0.07710704952478409, 2, 5, 156530]","[0.06589029729366302, 9, 3, 180754]"
79,"[0.09819725155830383, 2, 5, 156530]","[0.07818149775266647, 9, 3, 180754]"
80,"[0.06969334930181503, 2, 5, 156530]","[0.06981217861175537, 9, 3, 180754]"
81,"[0.09286165982484818, 2, 5, 156530]","[0.09677118062973022, 9, 3, 180754]"
82,"[0.06924021989107132, 2, 5, 156530]","[0.07726205885410309, 9, 3, 180754]"
83,"[0.0823298990726471, 2, 5, 156530]","[0.08768066763877869, 9, 3, 180754]"
84,"[0.07585182785987854, 2, 5, 156530]","[0.0878952369093895, 9, 3, 180754]"
85,"[0.08701173961162567, 2, 5, 156530]","[0.09930865466594696, 9, 3, 180754]"
86,"[0.08047658950090408, 2, 5, 156530]","[0.077156201004982, 9, 3, 180754]"
87,"[0.08597244322299957, 2, 5, 156530]","[0.07122934609651566, 9, 3, 180754]"
88,"[0.07657305151224136, 2, 5, 156530]","[0.0824611634016037, 9, 3, 180754]"
89,"[0.0835568830370903, 2, 5, 156530]","[0.07108227908611298, 9, 3, 180754]"
90,"[0.06035412847995758, 2, 5, 156530]","[0.07258830219507217, 9, 3, 180754]"
91,"[0.0847051665186882, 2, 5, 156530]","[0.08921457827091217, 9, 3, 180754]"
92,"[0.06872323900461197, 2, 5, 156530]","[0.06012939289212227, 9, 3, 180754]"
93,"[0.09431751072406769, 2, 5, 156530]","[0.0746188834309578, 9, 3, 180754]"
94,"[0.07245682179927826, 2, 5, 156530]","[0.06464526057243347, 9, 3, 180754]"
95,"[0.09189295768737793, 2, 5, 156530]","[0.08116612583398819, 9, 3, 180754]"
96,"[0.08141082525253296, 2, 5, 156530]","[0.05732695385813713, 9, 3, 180754]"
97,"[0.09147976338863373, 2, 5, 156530]","[0.060718659311532974, 9, 3, 180754]"
98,"[0.0841330960392952, 2, 5, 156530]","[0.07401818037033081, 9, 3, 180754]"
99,"[0.09031073749065399, 2, 5, 156530]","[0.08048540353775024, 9, 3, 180754]"
