,0,1
69,"[0.9140529036521912, 4, 4, 68669]","[0.876994252204895, 6, 6, 121435]"
70,"[0.9111527800559998, 4, 4, 68669]","[0.8820487260818481, 6, 6, 121435]"
71,"[0.9113298654556274, 4, 4, 68669]","[0.8805528879165649, 6, 6, 121435]"
72,"[0.9114236235618591, 4, 4, 68669]","[0.8780033588409424, 6, 6, 121435]"
73,"[0.9172711372375488, 4, 4, 68669]","[0.8741863369941711, 6, 6, 121435]"
74,"[0.9153468012809753, 4, 4, 68669]","[0.8753713369369507, 6, 6, 121435]"
75,"[0.9190768003463745, 4, 4, 68669]","[0.8734411001205444, 6, 6, 121435]"
76,"[0.9233143329620361, 4, 4, 68669]","[0.8684688210487366, 6, 6, 121435]"
77,"[0.9239062666893005, 4, 4, 68669]","[0.8683239221572876, 6, 6, 121435]"
78,"[0.9218873381614685, 4, 4, 68669]","[0.866436243057251, 6, 6, 121435]"
79,"[0.9187732934951782, 4, 4, 68669]","[0.8671229481697083, 6, 6, 121435]"
80,"[0.9210055470466614, 4, 4, 68669]","[0.8611840605735779, 6, 6, 121435]"
81,"[0.9263688325881958, 4, 4, 68669]","[0.8600731492042542, 6, 6, 121435]"
82,"[0.9299366474151611, 4, 4, 68669]","[0.8547236919403076, 6, 6, 121435]"
83,"[0.9298991560935974, 4, 4, 68669]","[0.8535772562026978, 6, 6, 121435]"
84,"[0.9294575452804565, 4, 4, 68669]","[0.8563753962516785, 6, 6, 121435]"
85,"[0.9312476515769958, 4, 4, 68669]","[0.8539786338806152, 6, 6, 121435]"
86,"[0.9321591258049011, 4, 4, 68669]","[0.8592914938926697, 6, 6, 121435]"
87,"[0.9319325089454651, 4, 4, 68669]","[0.864236056804657, 6, 6, 121435]"
88,"[0.9338153600692749, 4, 4, 68669]","[0.8629915714263916, 6, 6, 121435]"
89,"[0.9334239363670349, 4, 4, 68669]","[0.8689724206924438, 6, 6, 121435]"
90,"[0.9289551377296448, 4, 4, 68669]","[0.8725430369377136, 6, 6, 121435]"
91,"[0.920610249042511, 4, 4, 68669]","[0.8719239830970764, 6, 6, 121435]"
92,"[0.9216336607933044, 4, 4, 68669]","[0.8787657022476196, 6, 6, 121435]"
93,"[0.9256383776664734, 4, 4, 68669]","[0.8818485140800476, 6, 6, 121435]"
94,"[0.9296130537986755, 4, 4, 68669]","[0.8821779489517212, 6, 6, 121435]"
95,"[0.9342479109764099, 4, 4, 68669]","[0.8827733993530273, 6, 6, 121435]"
96,"[0.9364171028137207, 4, 4, 68669]","[0.880795955657959, 6, 6, 121435]"
97,"[0.9318038821220398, 4, 4, 68669]","[0.881778359413147, 6, 6, 121435]"
98,"[0.9261466264724731, 4, 4, 68669]","[0.8806524276733398, 6, 6, 121435]"
99,"[0.9223434925079346, 4, 4, 68669]","[0.885164201259613, 6, 6, 121435]"
100,"[0.9251564145088196, 4, 4, 68669]","[0.8775383830070496, 6, 6, 121435]"
101,"[0.9206455945968628, 4, 4, 68669]","[0.876126229763031, 6, 6, 121435]"
102,"[0.9219873547554016, 4, 4, 68669]","[0.8706948161125183, 6, 6, 121435]"
103,"[0.9232157468795776, 4, 4, 68669]","[0.8727994561195374, 6, 6, 121435]"
104,"[0.927956223487854, 4, 4, 68669]","[0.8657305836677551, 6, 6, 121435]"
105,"[0.9231521487236023, 4, 4, 68669]","[0.8641388416290283, 6, 6, 121435]"
106,"[0.9263951182365417, 4, 4, 68669]","[0.8653707504272461, 6, 6, 121435]"
107,"[0.9254931807518005, 4, 4, 68669]","[0.8658891916275024, 6, 6, 121435]"
108,"[0.9266796112060547, 4, 4, 68669]","[0.86513751745224, 6, 6, 121435]"
109,"[0.930365800857544, 4, 4, 68669]","[0.8647609353065491, 6, 6, 121435]"
110,"[0.9272075295448303, 4, 4, 68669]","[0.8602664470672607, 6, 6, 121435]"
111,"[0.9326969981193542, 4, 4, 68669]","[0.8538212180137634, 6, 6, 121435]"
112,"[0.9291244745254517, 4, 4, 68669]","[0.8537453413009644, 6, 6, 121435]"
113,"[0.936133623123169, 4, 4, 68669]","[0.8549894094467163, 6, 6, 121435]"
114,"[0.9273227453231812, 4, 4, 68669]","[0.8513716459274292, 6, 6, 121435]"
115,"[0.9273308515548706, 4, 4, 68669]","[0.8456496596336365, 6, 6, 121435]"
116,"[0.919465959072113, 4, 4, 68669]","[0.8462172150611877, 6, 6, 121435]"
117,"[0.9143794178962708, 4, 4, 68669]","[0.8466002345085144, 6, 6, 121435]"
118,"[0.9086237549781799, 4, 4, 68669]","[0.8485203385353088, 6, 6, 121435]"
119,"[0.9087361693382263, 4, 4, 68669]","[0.847735583782196, 6, 6, 121435]"
120,"[0.9064647555351257, 4, 4, 68669]","[0.853431761264801, 6, 6, 121435]"
121,"[0.9008246660232544, 4, 4, 68669]","[0.8549543023109436, 6, 6, 121435]"
122,"[0.9105743765830994, 4, 4, 68669]","[0.8617870807647705, 6, 6, 121435]"
123,"[0.45673680305480957, 7, 4, 68669]","[0.542526364326477, 6, 6, 121435]"
124,"[0.1864926815032959, 7, 4, 68669]","[0.4672338366508484, 6, 6, 121435]"
125,"[0.2867649793624878, 7, 4, 68669]","[0.5581359267234802, 6, 6, 121435]"
126,"[0.40467819571495056, 7, 4, 68669]","[0.6159819960594177, 6, 6, 121435]"
127,"[0.5088468194007874, 4, 4, 68669]","[0.6673113703727722, 6, 6, 121435]"
128,"[0.5879014134407043, 4, 4, 68669]","[0.7030001282691956, 6, 6, 121435]"
129,"[0.6512157917022705, 4, 4, 68669]","[0.7300716042518616, 6, 6, 121435]"
130,"[0.699529230594635, 4, 4, 68669]","[0.7602781057357788, 6, 6, 121435]"
131,"[0.7177568078041077, 4, 4, 68669]","[0.7800002098083496, 6, 6, 121435]"
132,"[0.7372653484344482, 4, 4, 68669]","[0.8023484349250793, 6, 6, 121435]"
133,"[0.7495899200439453, 4, 4, 68669]","[0.8079175353050232, 6, 6, 121435]"
134,"[0.7543259263038635, 4, 4, 68669]","[0.8143768906593323, 6, 6, 121435]"
135,"[0.7685179114341736, 4, 4, 68669]","[0.8254483938217163, 6, 6, 121435]"
136,"[0.7825747132301331, 4, 4, 68669]","[0.8237044811248779, 6, 6, 121435]"
137,"[0.7865784168243408, 4, 4, 68669]","[0.8175593018531799, 6, 6, 121435]"
138,"[0.6751153469085693, 4, 4, 68669]","[0.7717909216880798, 6, 6, 121435]"
139,"[0.716907262802124, 4, 4, 68669]","[0.7826817631721497, 6, 6, 121435]"
140,"[0.7455481886863708, 4, 4, 68669]","[0.792924702167511, 6, 6, 121435]"
141,"[0.7562131285667419, 4, 4, 68669]","[0.8006247282028198, 6, 6, 121435]"
142,"[0.7729546427726746, 4, 4, 68669]","[0.8079260587692261, 6, 6, 121435]"
143,"[0.7724177837371826, 4, 4, 68669]","[0.8143408298492432, 6, 6, 121435]"
144,"[0.6422052383422852, 4, 4, 68669]","[0.7643221020698547, 6, 6, 121435]"
