,0,1
69,"[0.6161553859710693, 3, 3, 135040]","[0.5345731973648071, 3, 3, 144455]"
70,"[0.6106255054473877, 3, 3, 135040]","[0.5304421186447144, 3, 3, 144455]"
71,"[0.6279171705245972, 3, 3, 135040]","[0.5285343527793884, 3, 3, 144455]"
72,"[0.6187637448310852, 3, 3, 135040]","[0.5377973914146423, 3, 3, 144455]"
73,"[0.6273341178894043, 3, 3, 135040]","[0.5277581214904785, 3, 3, 144455]"
74,"[0.6221798062324524, 3, 3, 135040]","[0.5397148132324219, 3, 3, 144455]"
75,"[0.6456095576286316, 3, 3, 135040]","[0.538224995136261, 3, 3, 144455]"
76,"[0.6249123811721802, 3, 3, 135040]","[0.5460428595542908, 3, 3, 144455]"
77,"[0.6378366947174072, 3, 3, 135040]","[0.5289146304130554, 3, 3, 144455]"
78,"[0.6541429758071899, 3, 3, 135040]","[0.5406227707862854, 3, 3, 144455]"
79,"[0.6677184104919434, 3, 3, 135040]","[0.538310706615448, 3, 3, 144455]"
80,"[0.6745971441268921, 3, 3, 135040]","[0.5435911417007446, 3, 3, 144455]"
81,"[0.68084317445755, 3, 3, 135040]","[0.5444729328155518, 3, 3, 144455]"
82,"[0.6939917802810669, 3, 3, 135040]","[0.5607084035873413, 3, 3, 144455]"
83,"[0.693219006061554, 3, 3, 135040]","[0.5609987378120422, 3, 3, 144455]"
84,"[0.7004979252815247, 3, 3, 135040]","[0.5464872121810913, 3, 3, 144455]"
85,"[0.7180936932563782, 3, 3, 135040]","[0.5631938576698303, 3, 3, 144455]"
86,"[0.7142195701599121, 3, 3, 135040]","[0.5644102692604065, 3, 3, 144455]"
87,"[0.7265703082084656, 3, 3, 135040]","[0.5629777908325195, 3, 3, 144455]"
88,"[0.7348034977912903, 3, 3, 135040]","[0.5716155767440796, 3, 3, 144455]"
89,"[0.73500657081604, 3, 3, 135040]","[0.5768738985061646, 3, 3, 144455]"
90,"[0.746728241443634, 3, 3, 135040]","[0.5814128518104553, 3, 3, 144455]"
91,"[0.7617520689964294, 3, 3, 135040]","[0.595641016960144, 3, 3, 144455]"
92,"[0.7488417625427246, 3, 3, 135040]","[0.5648598074913025, 3, 3, 144455]"
93,"[0.7575070261955261, 3, 3, 135040]","[0.5800090432167053, 3, 3, 144455]"
94,"[0.7659674882888794, 3, 3, 135040]","[0.5882428884506226, 3, 3, 144455]"
95,"[0.7741376757621765, 3, 3, 135040]","[0.5863364338874817, 3, 3, 144455]"
96,"[0.780154287815094, 3, 3, 135040]","[0.596350908279419, 3, 3, 144455]"
97,"[0.7937476634979248, 3, 3, 135040]","[0.5948911309242249, 3, 3, 144455]"
98,"[0.8068187832832336, 3, 3, 135040]","[0.6035332679748535, 3, 3, 144455]"
99,"[0.7920572757720947, 3, 3, 135040]","[0.6136355400085449, 3, 3, 144455]"
100,"[0.8135232925415039, 3, 3, 135040]","[0.6272888779640198, 3, 3, 144455]"
101,"[0.6511583924293518, 3, 3, 135040]","[0.4624173641204834, 3, 3, 144455]"
102,"[0.6346198916435242, 3, 3, 135040]","[0.4487663805484772, 3, 3, 144455]"
103,"[0.6282471418380737, 3, 3, 135040]","[0.4636574685573578, 3, 3, 144455]"
104,"[0.6270989775657654, 3, 3, 135040]","[0.43377894163131714, 3, 3, 144455]"
105,"[0.599755048751831, 3, 3, 135040]","[0.42275357246398926, 3, 3, 144455]"
106,"[0.6149680614471436, 3, 3, 135040]","[0.4294113218784332, 3, 3, 144455]"
107,"[0.6113802790641785, 3, 3, 135040]","[0.4307957887649536, 3, 3, 144455]"
108,"[0.6101875901222229, 3, 3, 135040]","[0.431142121553421, 3, 3, 144455]"
109,"[0.616422176361084, 3, 3, 135040]","[0.42246556282043457, 3, 3, 144455]"
110,"[0.6090747117996216, 3, 3, 135040]","[0.4326542615890503, 3, 3, 144455]"
111,"[0.6213212609291077, 3, 3, 135040]","[0.42720937728881836, 3, 3, 144455]"
112,"[0.6194287538528442, 3, 3, 135040]","[0.4351995587348938, 3, 3, 144455]"
113,"[0.6122784614562988, 3, 3, 135040]","[0.401154100894928, 3, 3, 144455]"
114,"[0.6078029274940491, 3, 3, 135040]","[0.41952550411224365, 3, 3, 144455]"
115,"[0.6335926055908203, 3, 3, 135040]","[0.4369276463985443, 3, 3, 144455]"
116,"[0.6134187579154968, 3, 3, 135040]","[0.42177414894104004, 3, 3, 144455]"
117,"[0.6259445548057556, 3, 3, 135040]","[0.43264472484588623, 3, 3, 144455]"
118,"[0.6361917853355408, 3, 3, 135040]","[0.405875027179718, 3, 3, 144455]"
119,"[0.6306469440460205, 3, 3, 135040]","[0.4224870204925537, 3, 3, 144455]"
120,"[0.6295782923698425, 3, 3, 135040]","[0.4140416383743286, 3, 3, 144455]"
121,"[0.649236798286438, 3, 3, 135040]","[0.41895410418510437, 3, 3, 144455]"
122,"[0.6409253478050232, 3, 3, 135040]","[0.43469759821891785, 3, 3, 144455]"
123,"[0.6373356580734253, 3, 3, 135040]","[0.4305739104747772, 3, 3, 144455]"
124,"[0.6384842991828918, 3, 3, 135040]","[0.41271987557411194, 3, 3, 144455]"
125,"[0.6552897095680237, 3, 3, 135040]","[0.41153034567832947, 3, 3, 144455]"
126,"[0.668802797794342, 3, 3, 135040]","[0.41274723410606384, 3, 3, 144455]"
127,"[0.6715894937515259, 3, 3, 135040]","[0.40690115094184875, 3, 3, 144455]"
128,"[0.6810908913612366, 3, 3, 135040]","[0.40061086416244507, 3, 3, 144455]"
129,"[0.6824852824211121, 3, 3, 135040]","[0.39514923095703125, 3, 3, 144455]"
130,"[0.6987612247467041, 3, 3, 135040]","[0.3943866789340973, 3, 3, 144455]"
131,"[0.7002273201942444, 3, 3, 135040]","[0.4000471830368042, 3, 3, 144455]"
132,"[0.7239278554916382, 3, 3, 135040]","[0.3801864981651306, 3, 3, 144455]"
133,"[0.6787629127502441, 3, 3, 135040]","[0.40728285908699036, 3, 3, 144455]"
134,"[0.7051137089729309, 3, 3, 135040]","[0.38547924160957336, 3, 3, 144455]"
135,"[0.6959460973739624, 3, 3, 135040]","[0.39314812421798706, 3, 3, 144455]"
