,0,1
69,"[0.3990482687950134, 5, 3, 135040]","[0.29861512780189514, 5, 3, 144455]"
70,"[0.42057862877845764, 5, 3, 135040]","[0.32776135206222534, 5, 3, 144455]"
71,"[0.39913681149482727, 5, 3, 135040]","[0.3109375238418579, 5, 3, 144455]"
72,"[0.3955833613872528, 5, 3, 135040]","[0.32436403632164, 5, 3, 144455]"
73,"[0.3926917612552643, 5, 3, 135040]","[0.3270775079727173, 5, 3, 144455]"
74,"[0.37510693073272705, 5, 3, 135040]","[0.36200249195098877, 5, 3, 144455]"
75,"[0.2987145781517029, 5, 3, 135040]","[0.2790529727935791, 5, 3, 144455]"
76,"[0.3785304129123688, 5, 3, 135040]","[0.36765629053115845, 5, 3, 144455]"
77,"[0.3420671224594116, 5, 3, 135040]","[0.3185918927192688, 5, 3, 144455]"
78,"[0.30773597955703735, 5, 3, 135040]","[0.368561327457428, 5, 3, 144455]"
79,"[0.325590044260025, 5, 3, 135040]","[0.3172031342983246, 5, 3, 144455]"
80,"[0.3394574522972107, 5, 3, 135040]","[0.35188835859298706, 5, 3, 144455]"
81,"[0.32379791140556335, 5, 3, 135040]","[0.294351726770401, 5, 3, 144455]"
82,"[0.2848348915576935, 5, 3, 135040]","[0.35902681946754456, 5, 3, 144455]"
83,"[0.3404577672481537, 5, 3, 135040]","[0.3350834250450134, 5, 3, 144455]"
84,"[0.3081916570663452, 5, 3, 135040]","[0.3804815113544464, 5, 3, 144455]"
85,"[0.3232920467853546, 5, 3, 135040]","[0.36681732535362244, 5, 3, 144455]"
86,"[0.2919352650642395, 5, 3, 135040]","[0.3477409780025482, 5, 3, 144455]"
87,"[0.32764437794685364, 5, 3, 135040]","[0.37749531865119934, 5, 3, 144455]"
88,"[0.29719212651252747, 5, 3, 135040]","[0.3574846684932709, 5, 3, 144455]"
89,"[0.36094576120376587, 5, 3, 135040]","[0.34816989302635193, 5, 3, 144455]"
90,"[0.3182474672794342, 5, 3, 135040]","[0.3418692350387573, 5, 3, 144455]"
91,"[0.29039809107780457, 5, 3, 135040]","[0.3454655110836029, 5, 3, 144455]"
92,"[0.2689499855041504, 5, 3, 135040]","[0.3524434268474579, 5, 3, 144455]"
93,"[0.30896902084350586, 5, 3, 135040]","[0.3799262046813965, 5, 3, 144455]"
94,"[0.30175718665122986, 5, 3, 135040]","[0.3782375454902649, 5, 3, 144455]"
95,"[0.2778604030609131, 5, 3, 135040]","[0.4059670865535736, 5, 3, 144455]"
96,"[0.30621689558029175, 5, 3, 135040]","[0.39045384526252747, 5, 3, 144455]"
97,"[0.2717372477054596, 5, 3, 135040]","[0.40319323539733887, 5, 3, 144455]"
98,"[0.3193932771682739, 5, 3, 135040]","[0.43969401717185974, 5, 3, 144455]"
99,"[0.2593042254447937, 5, 3, 135040]","[0.42645782232284546, 5, 3, 144455]"
