,0,1
69,"[0.55672687292099, 3, 3, 135040]","[0.497416615486145, 3, 3, 144455]"
70,"[0.5716860890388489, 3, 3, 135040]","[0.49513256549835205, 3, 3, 144455]"
71,"[0.5602874159812927, 3, 3, 135040]","[0.4973044991493225, 3, 3, 144455]"
72,"[0.5761966705322266, 3, 3, 135040]","[0.4931374788284302, 3, 3, 144455]"
73,"[0.5805785655975342, 3, 3, 135040]","[0.5063748955726624, 3, 3, 144455]"
74,"[0.5820184350013733, 3, 3, 135040]","[0.4909650981426239, 3, 3, 144455]"
75,"[0.5820736289024353, 3, 3, 135040]","[0.5094372630119324, 3, 3, 144455]"
76,"[0.5900005102157593, 3, 3, 135040]","[0.5116159319877625, 3, 3, 144455]"
77,"[0.6074818968772888, 3, 3, 135040]","[0.5199519991874695, 3, 3, 144455]"
78,"[0.5933891534805298, 3, 3, 135040]","[0.5100950002670288, 3, 3, 144455]"
79,"[0.6147739887237549, 3, 3, 135040]","[0.5148874521255493, 3, 3, 144455]"
80,"[0.6161680221557617, 3, 3, 135040]","[0.5240544080734253, 3, 3, 144455]"
81,"[0.6139147281646729, 3, 3, 135040]","[0.530387282371521, 3, 3, 144455]"
82,"[0.6197828650474548, 3, 3, 135040]","[0.5153232216835022, 3, 3, 144455]"
83,"[0.6381465792655945, 3, 3, 135040]","[0.5302018523216248, 3, 3, 144455]"
84,"[0.6450605988502502, 3, 3, 135040]","[0.5303300023078918, 3, 3, 144455]"
85,"[0.6508868336677551, 3, 3, 135040]","[0.5455707907676697, 3, 3, 144455]"
86,"[0.6451131105422974, 3, 3, 135040]","[0.5276230573654175, 3, 3, 144455]"
87,"[0.6615855097770691, 3, 3, 135040]","[0.5437645316123962, 3, 3, 144455]"
88,"[0.6790392398834229, 3, 3, 135040]","[0.5424612164497375, 3, 3, 144455]"
89,"[0.6776757836341858, 3, 3, 135040]","[0.5484393239021301, 3, 3, 144455]"
90,"[0.6759139895439148, 3, 3, 135040]","[0.5566324591636658, 3, 3, 144455]"
91,"[0.6889011859893799, 3, 3, 135040]","[0.5640745759010315, 3, 3, 144455]"
92,"[0.6823626756668091, 3, 3, 135040]","[0.5502143502235413, 3, 3, 144455]"
93,"[0.6930533051490784, 3, 3, 135040]","[0.5583499670028687, 3, 3, 144455]"
94,"[0.6945605874061584, 3, 3, 135040]","[0.5771986842155457, 3, 3, 144455]"
95,"[0.702420175075531, 3, 3, 135040]","[0.5760354399681091, 3, 3, 144455]"
96,"[0.6896968483924866, 3, 3, 135040]","[0.5790349841117859, 3, 3, 144455]"
97,"[0.714250922203064, 3, 3, 135040]","[0.5861056447029114, 3, 3, 144455]"
98,"[0.7161843180656433, 3, 3, 135040]","[0.585915207862854, 3, 3, 144455]"
99,"[0.7244263291358948, 3, 3, 135040]","[0.6014918684959412, 3, 3, 144455]"
100,"[0.7243384718894958, 3, 3, 135040]","[0.5959367156028748, 3, 3, 144455]"
101,"[0.46836578845977783, 5, 3, 135040]","[0.3544812798500061, 5, 3, 144455]"
102,"[0.3515162169933319, 5, 3, 135040]","[0.29188767075538635, 5, 3, 144455]"
103,"[0.2977665662765503, 5, 3, 135040]","[0.25477245450019836, 5, 3, 144455]"
104,"[0.2755291163921356, 5, 3, 135040]","[0.2446718066930771, 5, 3, 144455]"
105,"[0.25480303168296814, 5, 3, 135040]","[0.22827281057834625, 5, 3, 144455]"
106,"[0.23852479457855225, 5, 3, 135040]","[0.2065701186656952, 5, 3, 144455]"
107,"[0.25779658555984497, 5, 3, 135040]","[0.20204395055770874, 5, 3, 144455]"
108,"[0.22965136170387268, 5, 3, 135040]","[0.1855459064245224, 5, 3, 144455]"
109,"[0.2326541393995285, 5, 3, 135040]","[0.18344159424304962, 5, 3, 144455]"
110,"[0.21829184889793396, 5, 3, 135040]","[0.16819487512111664, 5, 3, 144455]"
111,"[0.22236217558383942, 5, 3, 135040]","[0.1642444133758545, 5, 3, 144455]"
112,"[0.19972600042819977, 5, 3, 135040]","[0.15954497456550598, 5, 3, 144455]"
113,"[0.2192476987838745, 5, 3, 135040]","[0.15418224036693573, 5, 3, 144455]"
114,"[0.20169274508953094, 5, 3, 135040]","[0.15297472476959229, 5, 3, 144455]"
115,"[0.21917621791362762, 5, 3, 135040]","[0.1468852460384369, 5, 3, 144455]"
116,"[0.19201602041721344, 5, 3, 135040]","[0.13959094882011414, 5, 3, 144455]"
117,"[0.22649554908275604, 5, 3, 135040]","[0.13069675862789154, 5, 3, 144455]"
118,"[0.19997404515743256, 5, 3, 135040]","[0.1286490261554718, 5, 3, 144455]"
119,"[0.21276172995567322, 5, 3, 135040]","[0.12350345402956009, 5, 3, 144455]"
120,"[0.19911658763885498, 5, 3, 135040]","[0.1239766776561737, 5, 3, 144455]"
121,"[0.21404217183589935, 5, 3, 135040]","[0.11686427146196365, 5, 3, 144455]"
122,"[0.1748182326555252, 5, 3, 135040]","[0.11041407287120819, 5, 3, 144455]"
123,"[0.20275060832500458, 5, 3, 135040]","[0.10898520797491074, 5, 3, 144455]"
124,"[0.18143686652183533, 5, 3, 135040]","[0.1116279661655426, 5, 3, 144455]"
125,"[0.2080075740814209, 5, 3, 135040]","[0.1121264100074768, 5, 3, 144455]"
126,"[0.17939293384552002, 5, 3, 135040]","[0.10299460589885712, 5, 3, 144455]"
127,"[0.19590729475021362, 5, 3, 135040]","[0.10721098631620407, 5, 3, 144455]"
128,"[0.1714695692062378, 5, 3, 135040]","[0.09196467697620392, 5, 3, 144455]"
129,"[0.1840941458940506, 5, 3, 135040]","[0.0970323383808136, 5, 3, 144455]"
130,"[0.18102675676345825, 5, 3, 135040]","[0.09470702707767487, 5, 3, 144455]"
